Modelo;Nombre Tipo de producto;Categoria Tipo de producto;Marca;Unidades;Precio;Garantia
Stronghold;Plastic;Accesorio;Mitsubishi;108;2715431;si
Sub-Ex;Steel;Accesorio;Nissan;69;1397617;si
Subin;Brass;Equipo electronico;Chevrolet;52;443092;no
Tampflex;Aluminum;Accesorio;Ford;119;683928;si
Temp;Aluminum;Accesorio;Acura;99;1165883;no
Tempsoft;Wood;Equipo electronico;Honda;33;576366;no
Tin;Steel;Accesorio;Chrysler;26;374228;si
Toughjoyfax;Wood;Accesorio;Ford;101;173504;si
Transcof;Aluminum;Equipo electronico;Suzuki;122;924437;si
Treeflex;Brass;Equipo electronico;Volvo;126;1963462;si
Tresom;Steel;Accesorio;Volkswagen;30;1633866;si
Tres-Zap;Steel;Equipo electronico;Kia;124;1279486;no
Trippledex;Vinyl;Equipo electronico;Dodge;34;1792952;si
Vagram;Wood;Equipo electronico;Mercury;150;2059542;si
Ventosanzap;Vinyl;Accesorio;Chevrolet;61;1920414;no
Veribet;Steel;Equipo electronico;Lexus;127;473037;si
Viva;Steel;Accesorio;Mercedes-Benz;136;1102976;si
Voltsillam;Plastic;Accesorio;GMC;112;910735;si
Voyatouch;Plexiglass;Accesorio;Chevrolet;84;1712079;si
Wrapsafe;Glass;Accesorio;Mazda;120;2520275;si
Y-find;Steel;Equipo electronico;Kia;101;2652206;si
Y-Solowarm;Glass;Accesorio;Mazda;98;1442966;no
Zaam-Dox;Brass;Accesorio;Chevrolet;105;2273130;si
Zamit;Wood;Accesorio;Chevrolet;20;2388503;no
Zathin;Stone;Equipo electronico;Honda;31;2412063;si
